1	11	10	11	10	14	12	13	12	15	14	18	15	15	13	14	13	18	16	17	15	19	17	21	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,5	14,5	13,5	14	13	17,5	15,5	16,5	15	19,5	17,5	22	18	19	17	18,5	16,5	23	20	22	19,5	24	22	26	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,5	19,5	18	18,5	17,5	24	21	23	20	27	24	29	24	26	23	25	22	31	28	30	26	33	30	34	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	26	24	25	23	32	28	30	27	36	32	38	31	35	31	33	30	42	37	40	35	45	40	44	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	34	31	32	29	41	36	38	34	46	41	47	39	45	40	42	38	54	48	51	44	58	52	56	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	46	42	43	39	57	50	52	46	63	57	63	52	61	54	57	51	75	66	69	60	80	71	73	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	61	56	57	52	76	68	69	62	85	76	81	67	81	73	76	68	100	88	91	80	107	96	95	79	48	43	44	41	60	53	54	48	66	59	62	52	64	58	60	55	79	71	72	64	84	76	73	61
25	80	73	75	68	101	89	90	80	112	96	104	86	106	95	99	89	133	117	119	105	138	119	121	101	63	57	58	53	79	70	71	62	83	73	80	66	84	76	78	71	105	93	94	84	101	90	93	78
35	99	89	92	83	125	110	111	99	138	119	125	103	131	117	121	109	164	144	146	128	171	147	146	122	77	70	71	65	97	86	86	77	103	90	96	80	103	94	96	87	130	116	115	103	126	112	112	94
50	119	108	110	99	151	134	133	118	168	144	148	122	158	141	145	130	198	175	175	154	209	179	173	144	93	84	86	78	118	104	104	92	125	110	113	94	125	113	115	104	157	140	138	124	154	136	132	112
70	151	136	139	125	192	171	168	149	213	184	183	151	200	179	183	164	253	222	221	194	269	229	213	178	118	107	108	98	150	133	131	116	160	140	140	117	158	142	145	131	200	179	175	156	198	174	163	138
95	182	164	167	150	232	207	201	179	258	223	216	179	241	216	220	197	306	269	265	233	328	278	252	211	142	129	130	118	181	161	157	139	195	170	166	138	191	171	175	157	242	217	210	188	241	211	193	164
120	210	188	192	172	269	239	232	206	299	259	246	203	278	249	253	227	354	312	305	268	382	322	287	240	164	149	150	135	210	186	181	160	226	197	189	157	220	197	201	180	281	251	242	216	280	245	220	186
150	240	216	219	196	309	275	265	236	344	299	278	230	318	285	290	259	407	358	349	307	441	371	324	271	189	170	172	155	241	214	206	183	261	227	213	178	253	226	230	206	323	289	277	248	324	283	249	210
185	273	245	248	223	353	314	300	268	392	341	312	258	362	324	329	295	464	408	395	348	506	424	363	304	215	194	195	176	275	245	234	208	298	259	240	200	288	256	262	233	368	330	314	281	371	323	279	236
240	321	286	291	261	415	370	351	313	461	403	361	297	424	380	386	346	546	481	462	407	599	500	419	351	252	227	229	207	324	288	274	243	352	305	277	230	338	300	307	273	433	389	368	329	439	382	322	272
300	367	328	334	298	477	426	401	358	530	464	408	336	486	435	442	396	628	553	529	465	693	576	474	396	289	261	263	237	372	331	313	278	406	351	313	260	387	344	352	313	499	447	421	377	508	440	364	308
400	438	390	398	355	571	510	477	425	634	557	478	394	579	519	527	472	751	661	628	552	835	692	555	464	345	311	314	283	446	397	372	331	488	422	366	305	462	409	421	372	597	536	500	448	612	529	426	361
500	502	447	456	406	656	587	545	486	729	642	540	445	664	595	604	541	864	760	718	631	966	797	627	525	396	356	360	324	512	456	425	378	563	486	414	345	530	468	483	426	687	617	573	513	707	610	482	408
630	578	514	526	467	758	678	626	559	843	743	614	506	765	685	696	623	998	879	825	725	1122	923	711	596	456	410	416	373	592	527	488	435	653	562	471	391	611	538	556	490	794	714	658	590	821	707	547	464
800	669	593	609	540	881	788	723	645	978	865	700	577	885	792	805	721	1158	1020	952	837	1311	1074	811	679	529	475	482	432	687	612	563	502	761	654	537	446	708	622	644	566	922	830	760	682	958	824	624	529
